Chunk Size,Error,Data Size,Number of Leaves,Number of Nodes,Setup time,Leaves time,Rest time,Load time,Hashing time
4096,0.01,7497964768,1830558,3661117,0.003527,8556.43,1.65469,7485.05,1071.38
4096,0.0001,7497964768,1830558,3661117,0.004088,7762.52,1.55096,6998.15,764.373
4096,1e-07,7497964768,1830558,3661117,0.004408,8245.35,1.646,7483,762.348
8192,0.01,7497964768,915279,1830559,0.002555,7425.79,0.787064,6353.14,1072.65
8192,0.0001,7497964768,915279,1830559,0.002695,7244.97,1.05476,6482.26,762.714
8192,1e-07,7497964768,915279,1830559,0.002294,7359.27,0.58726,6609.87,749.397
16384,0.01,7497964768,457640,915281,0.001703,7013.94,0.568164,5943.63,1070.31
16384,0.0001,7497964768,457640,915281,0.001583,6222.09,0.67824,5458.61,763.485
16384,1e-07,7497964768,457640,915281,0.002034,7043.82,0.544089,6281.9,761.917
32768,0.01,7497964768,228820,457641,0.001953,7315.53,0.588542,6246.38,1069.15
32768,0.0001,7497964768,228820,457641,0.001853,6876.96,0.303679,6116.81,760.146
32768,1e-07,7497964768,228820,457641,0.001603,7319.83,0.174988,6571.32,748.514
65536,0.01,7497964768,114410,228821,0.001523,6667.49,0.186519,5597.93,1069.56
65536,0.0001,7497964768,114410,228821,0.001393,6804.84,0.132588,6048.15,756.685
65536,1e-07,7497964768,114410,228821,0.001482,6885.01,0.179907,6127.09,757.921
131072,0.01,7497964768,57205,114411,0.002124,5511.44,0.115366,4441.52,1069.91
131072,0.0001,7497964768,57205,114411,0.001503,5383.66,0.071875,4629.35,754.303
131072,1e-07,7497964768,57205,114411,0.001853,5763.73,0.068648,5014.27,749.459
262144,0.01,7497964768,28603,57207,0.001513,4562.64,0.083346,3490.09,1072.55
262144,0.0001,7497964768,28603,57207,0.001503,4173.01,0.061545,3406.69,766.315
262144,1e-07,7497964768,28603,57207,0.001523,4072.43,0.057367,3316.1,756.326
524288,0.01,7497964768,14302,28605,0.001833,3555.37,0.057829,2481.64,1073.73
524288,0.0001,7497964768,14302,28605,0.001553,3180.18,0.032901,2422.12,758.055
524288,1e-07,7497964768,14302,28605,0.001603,3334.67,0.04783,2571.51,763.16
1048576,0.01,7497964768,7151,14303,0.001543,3224.19,0.042219,2150.32,1073.87
1048576,0.0001,7497964768,7151,14303,0.001733,2799.54,0.023804,2040.88,758.662
1048576,1e-07,7497964768,7151,14303,0.001503,2901.6,0.032922,2138.4,763.198
2097152,0.01,7497964768,3576,7153,0.001543,3107.62,0.013304,2031.73,1075.9
2097152,0.0001,7497964768,3576,7153,0.001442,2783.87,0.008626,2023.63,760.231
2097152,1e-07,7497964768,3576,7153,0.001793,2773.85,0.011812,2008.18,765.667
4194304,0.01,7497964768,1788,3577,0.001874,3084.07,0.011692,1993.39,1090.67
4194304,0.0001,7497964768,1788,3577,0.001483,2788.16,0.009217,2028.16,760.005
4194304,1e-07,7497964768,1788,3577,0.001422,2783.71,0.008776,2023.36,760.346
8388608,0.01,7497964768,894,1789,0.001473,3105.19,0.017603,2020.98,1084.21
8388608,0.0001,7497964768,894,1789,0.001944,2888.85,0.008776,2128.47,760.377
8388608,1e-07,7497964768,894,1789,0.001553,2952.73,0.008366,2197.63,755.1
4096,0.01,7497964768,1830558,3661117,0.004028,8175.69,1.8204,7104.94,1070.75
4096,0.0001,7497964768,1830558,3661117,0.004117,7916.73,1.18564,7161.47,755.258
4096,1e-07,7497964768,1830558,3661117,0.003867,7846.69,1.07557,7096.01,750.679
8192,0.01,7497964768,915279,1830559,0.003036,7767.34,1.05043,6696.7,1070.64
8192,0.0001,7497964768,915279,1830559,0.003617,7083.07,1.04905,6323.98,759.088
8192,1e-07,7497964768,915279,1830559,0.004187,7034.85,1.03398,6273.31,761.541
16384,0.01,7497964768,457640,915281,0.001482,7527.65,0.5236,6457.06,1070.59
16384,0.0001,7497964768,457640,915281,0.001643,7349.85,0.521185,6590.09,759.766
16384,1e-07,7497964768,457640,915281,0.001634,7058.13,0.543708,6298.28,759.858
32768,0.01,7497964768,228820,457641,0.001503,7187.25,0.308819,6114.32,1072.93
32768,0.0001,7497964768,228820,457641,0.001673,6647.01,0.272069,5887.38,759.632
32768,1e-07,7497964768,228820,457641,0.001643,7333.8,0.177252,6585.37,748.427
65536,0.01,7497964768,114410,228821,0.001453,5983.84,0.184576,4913.13,1070.72
65536,0.0001,7497964768,114410,228821,0.001483,6408.42,0.141866,5651.29,757.132
65536,1e-07,7497964768,114410,228821,0.001432,5668.44,0.169357,4912.26,756.176
131072,0.01,7497964768,57205,114411,0.001402,5871.04,0.113463,4801.16,1069.88
131072,0.0001,7497964768,57205,114411,0.001493,5588.61,0.075091,4833.89,754.72
131072,1e-07,7497964768,57205,114411,0.002024,5642.63,0.073107,4892.72,749.911
262144,0.01,7497964768,28603,57207,0.001924,4411.24,0.084058,3339.89,1071.34
262144,0.0001,7497964768,28603,57207,0.001654,4016.3,0.04804,3259.12,757.179
262144,1e-07,7497964768,28603,57207,0.001873,4350.85,0.061746,3589.26,761.596
524288,0.01,7497964768,14302,28605,0.001513,3539.47,0.056155,2466.82,1072.65
524288,0.0001,7497964768,14302,28605,0.002104,3092.86,0.034495,2334.72,758.145
524288,1e-07,7497964768,14302,28605,0.001803,3164.76,0.047489,2404.1,760.659
1048576,0.01,7497964768,7151,14303,0.001863,3117.46,0.343363,2043.96,1073.5
1048576,0.0001,7497964768,7151,14303,0.001613,2787.46,0.024416,2028.48,758.982
1048576,1e-07,7497964768,7151,14303,0.001633,2824.28,0.02659,2063.43,760.847
2097152,0.01,7497964768,3576,7153,0.001533,3066.42,0.019105,1989.82,1076.6
2097152,0.0001,7497964768,3576,7153,0.001643,2780.82,0.008877,2011.21,769.609
2097152,1e-07,7497964768,3576,7153,0.001522,2751.88,0.009458,1997.61,754.272
4194304,0.01,7497964768,1788,3577,0.001924,3102.18,0.015298,2016.88,1085.3
4194304,0.0001,7497964768,1788,3577,0.001573,2731.47,0.010059,1970.88,760.584
4194304,1e-07,7497964768,1788,3577,0.001663,2676.57,0.010811,1903.55,773.017
8388608,0.01,7497964768,894,1789,0.001793,3244.4,0.017593,2160.41,1083.98
8388608,0.0001,7497964768,894,1789,0.002134,2763.86,0.013736,1996.7,767.163
8388608,1e-07,7497964768,894,1789,0.001863,2790.81,0.009979,2014.21,776.6
4096,0.01,7497964768,1830558,3661117,0.005089,7914.58,1.31194,6838.92,1075.66
4096,0.0001,7497964768,1830558,3661117,0.003827,7744.27,1.61188,6980.57,763.702
4096,1e-07,7497964768,1830558,3661117,0.004398,7771.8,1.08124,7022.92,748.883
8192,0.01,7497964768,915279,1830559,0.003286,7869.45,1.20863,6799.98,1069.47
8192,0.0001,7497964768,915279,1830559,0.003577,7222.42,0.909203,6455.12,767.298
8192,1e-07,7497964768,915279,1830559,0.002775,7213.57,1.04522,6451.74,761.83
16384,0.01,7497964768,457640,915281,0.001733,7307.14,0.618448,6237.31,1069.83
16384,0.0001,7497964768,457640,915281,0.001903,7277.86,0.367328,6523.02,754.837
16384,1e-07,7497964768,457640,915281,0.002375,7145.87,0.55037,6387.09,758.783
32768,0.01,7497964768,228820,457641,0.001603,7052.8,0.317325,5983.06,1069.74
32768,0.0001,7497964768,228820,457641,0.001533,6637.4,0.177933,5883.48,753.923
32768,1e-07,7497964768,228820,457641,0.001383,6810.1,0.179787,6061.49,748.604
65536,0.01,7497964768,114410,228821,0.001673,6325.59,0.184996,5254.23,1071.36
65536,0.0001,7497964768,114410,228821,0.001533,6476.61,0.108323,5721.76,754.848
65536,1e-07,7497964768,114410,228821,0.001593,6442.11,0.164448,5685.83,756.285
131072,0.01,7497964768,57205,114411,0.001603,5221.25,0.120245,4143.34,1077.91
131072,0.0001,7497964768,57205,114411,0.001913,5682.86,0.104616,4922.64,760.219
131072,1e-07,7497964768,57205,114411,0.002174,4631.84,0.103184,3869.4,762.435
262144,0.01,7497964768,28603,57207,0.001563,4831.88,0.068779,3756.12,1075.75
262144,0.0001,7497964768,28603,57207,0.001693,4200.21,0.049222,3443.04,757.163
262144,1e-07,7497964768,28603,57207,0.001683,4385.42,0.067045,3617.75,767.666
524288,0.01,7497964768,14302,28605,0.001422,3352.18,0.05888,2278.66,1073.52
524288,0.0001,7497964768,14302,28605,0.001813,2996.4,0.036218,2238.36,758.035
524288,1e-07,7497964768,14302,28605,0.001562,3244.07,0.034655,2491.88,752.183
1048576,0.01,7497964768,7151,14303,0.002584,3159.16,0.042279,2085.41,1073.75
1048576,0.0001,7497964768,7151,14303,0.002043,2857.65,0.030377,2097.5,760.156
1048576,1e-07,7497964768,7151,14303,0.001923,2738.92,0.024185,1984.91,754.009
2097152,0.01,7497964768,3576,7153,0.002024,3059.61,0.018104,1980.89,1078.72
2097152,0.0001,7497964768,3576,7153,0.001713,2751.84,0.009999,1991.17,760.668
2097152,1e-07,7497964768,3576,7153,0.001472,2756.38,0.012524,2000.63,755.753
4194304,0.01,7497964768,1788,3577,0.001613,3050.92,0.016501,1965.08,1085.84
4194304,0.0001,7497964768,1788,3577,0.001473,2753.46,0.010821,1988.94,764.519
4194304,1e-07,7497964768,1788,3577,0.001542,2756.45,0.011401,1994.62,761.83
8388608,0.01,7497964768,894,1789,0.001343,3187.34,0.018073,2103.25,1084.09
8388608,0.0001,7497964768,894,1789,0.001783,2974,0.011521,2213.45,760.552
8388608,1e-07,7497964768,894,1789,0.001933,2923.74,0.012473,2168.94,754.801
4096,0.01,7497964768,1830558,3661117,0.004839,7883.06,1.30122,6811.33,1071.73
4096,0.0001,7497964768,1830558,3661117,0.003536,7835.01,1.28248,7081.92,753.095
4096,1e-07,7497964768,1830558,3661117,0.004388,7888.37,1.53028,7128.75,759.62
8192,0.01,7497964768,915279,1830559,0.002895,7352.42,1.10577,6281.19,1071.23
8192,0.0001,7497964768,915279,1830559,0.003837,6902.53,0.911137,6138.32,764.216
8192,1e-07,7497964768,915279,1830559,0.003606,7073.54,0.840444,6314.68,758.867
16384,0.01,7497964768,457640,915281,0.001603,7172.96,0.565499,6103.89,1069.07
16384,0.0001,7497964768,457640,915281,0.001633,7022.38,0.424055,6263.14,759.242
16384,1e-07,7497964768,457640,915281,0.001493,6940.68,0.550802,6179.36,761.322
32768,0.01,7497964768,228820,457641,0.001573,7103.95,0.316413,6032.67,1071.28
32768,0.0001,7497964768,228820,457641,0.001974,6851.05,0.190588,6097.66,753.39
32768,1e-07,7497964768,228820,457641,0.001583,6629.5,0.175549,5880.75,748.747
65536,0.01,7497964768,114410,228821,0.001383,6213.59,0.186459,5142.99,1070.6
65536,0.0001,7497964768,114410,228821,0.001473,6229.65,0.116408,5475.73,753.912
65536,1e-07,7497964768,114410,228821,0.001463,6850.61,0.183915,6091.86,758.742
131072,0.01,7497964768,57205,114411,0.001543,5632.05,0.118863,4561.16,1070.89
131072,0.0001,7497964768,57205,114411,0.001583,5815.14,0.094196,5058.25,756.895
131072,1e-07,7497964768,57205,114411,0.001613,5141.67,0.101299,4352.37,789.298
262144,0.01,7497964768,28603,57207,0.001974,4731.22,0.076414,3659.05,1072.18
262144,0.0001,7497964768,28603,57207,0.002094,3871.66,0.056686,3110.79,760.873
262144,1e-07,7497964768,28603,57207,0.001673,4252.81,0.06409,3492.67,760.142
524288,0.01,7497964768,14302,28605,0.002124,3419.63,0.057518,2346.62,1073.01
524288,0.0001,7497964768,14302,28605,0.002064,3183.76,0.056486,2419.91,763.849
524288,1e-07,7497964768,14302,28605,0.001754,3307.43,0.047599,2544.77,762.658
1048576,0.01,7497964768,7151,14303,0.002074,3199.79,0.039233,2122.88,1076.92
1048576,0.0001,7497964768,7151,14303,0.001603,2766.39,0.028584,1998.03,768.359
1048576,1e-07,7497964768,7151,14303,0.002004,2779.57,0.024706,2025.69,753.879
2097152,0.01,7497964768,3576,7153,0.001472,3126.91,0.017102,2049.12,1077.79
2097152,0.0001,7497964768,3576,7153,0.001593,2797.59,0.009358,2037.39,760.2
2097152,1e-07,7497964768,3576,7153,0.001553,2768.61,0.009308,2013.01,755.593
4194304,0.01,7497964768,1788,3577,0.001523,3223.78,0.017904,2139.53,1084.25
4194304,0.0001,7497964768,1788,3577,0.001593,2742.52,0.011151,1972.47,770.048
4194304,1e-07,7497964768,1788,3577,0.001473,2730.66,0.008876,1969.04,761.618
8388608,0.01,7497964768,894,1789,0.001503,3206.7,0.017403,2121.62,1085.08
