Chunk Size,Error,Data Size,Number of Leaves,Number of Nodes,Setup time,Leaves time,Rest time,Load time,Hashing time
4096,0.01,7497964768,1830558,3661117,0.003767,8138.52,18.0181,7064.41,1074.11
4096,0.0001,7497964768,1830558,3661117,0.003717,8104.74,1.75371,7344.8,759.934
4096,1e-07,7497964768,1830558,3661117,0.003186,8200.4,1.48878,7413.63,786.767
8192,0.01,7497964768,915279,1830559,0.002805,7969.8,92.2376,6897.42,1072.38
8192,0.0001,7497964768,915279,1830559,0.002575,8097.27,0.948556,7338.37,758.901
8192,1e-07,7497964768,915279,1830559,0.002665,7469.16,0.738603,6712.59,756.569
16384,0.01,7497964768,457640,915281,0.001423,7836.07,2.69727,6729.33,1106.74
16384,0.0001,7497964768,457640,915281,0.001493,7895.01,0.363621,7139.7,755.316
16384,1e-07,7497964768,457640,915281,0.001463,7011.06,0.518821,6238.97,772.086
32768,0.01,7497964768,228820,457641,0.001543,8121.5,8.62092,7052.08,1069.42
32768,0.0001,7497964768,228820,457641,0.001413,7012.83,0.201818,6255.14,757.684
32768,1e-07,7497964768,228820,457641,0.001373,7549.01,0.236343,6793.52,755.491
65536,0.01,7497964768,114410,228821,0.001362,7047.4,11.6442,5973.06,1074.35
65536,0.0001,7497964768,114410,228821,0.001303,6961.42,0.161743,6182.83,778.592
65536,1e-07,7497964768,114410,228821,0.001502,6627.49,0.162624,5850.08,777.404
131072,0.01,7497964768,57205,114411,0.001373,5742.56,4.47499,4669.16,1073.39
131072,0.0001,7497964768,57205,114411,0.001393,5161.74,0.072806,4404.51,757.229
131072,1e-07,7497964768,57205,114411,0.001233,5400.55,0.072155,4644.99,755.56
262144,0.01,7497964768,28603,57207,0.001293,4798.28,5.96008,3724.45,1073.83
262144,0.0001,7497964768,28603,57207,0.001262,3933.18,0.051056,3173.45,759.736
262144,1e-07,7497964768,28603,57207,0.001372,3963.65,0.049863,3207,756.645
524288,0.01,7497964768,14302,28605,0.001473,3499.26,9.46974,2424.68,1074.58
524288,0.0001,7497964768,14302,28605,0.001312,3352.16,0.036338,2595.04,757.117
524288,1e-07,7497964768,14302,28605,0.001373,3094.28,0.038912,2332.92,761.355
1048576,0.01,7497964768,7151,14303,0.001242,3165.78,0.31536,2089.29,1076.49
1048576,0.0001,7497964768,7151,14303,0.001292,3379.27,0.027883,2618.46,760.804
1048576,1e-07,7497964768,7151,14303,0.001242,3058.21,0.02647,2298.17,760.036
2097152,0.01,7497964768,3576,7153,0.001233,3094.42,0.017502,2016.7,1077.72
2097152,0.0001,7497964768,3576,7153,0.001362,2749.18,0.009879,1988.47,760.706
2097152,1e-07,7497964768,3576,7153,0.001242,2889.26,0.010259,2130.62,758.64
