Chunk Size,Error,Data Size,Number of Leaves,Number of Nodes,Setup time,Leaves time,Rest time,Load time,Hashing time
32,0.01,7501748464,234429640,468859281,0.0054,183490,276.684,182538,951.744
32,0.0001,7501748464,234429640,468859281,0.004699,183898,235.118,183032,866.05
32,1e-07,7501748464,234429640,468859281,0.004699,181997,255.223,181155,841.961
64,0.01,7501748464,117214820,234429641,0.004499,103999,132.512,103091,907.435
64,0.0001,7501748464,117214820,234429641,0.004849,105127,126.825,104319,807.911
64,1e-07,7501748464,117214820,234429641,0.004688,102593,126.14,101796,797.125
128,0.01,7501748464,58607410,117214821,0.005751,67873.7,91.0085,66994.4,879.225
128,0.0001,7501748464,58607410,117214821,0.004017,60614.8,60.9399,59846,768.786
128,1e-07,7501748464,58607410,117214821,0.005771,79668.8,60.9187,78898.3,770.523
256,0.01,7501748464,29303705,58607411,0.005169,41329.5,28.4829,40440.9,888.533
256,0.0001,7501748464,29303705,58607411,0.004569,41216.9,25.7601,40453.4,763.471
256,1e-07,7501748464,29303705,58607411,0.004658,38015.6,29.0723,37251.8,763.779
512,0.01,7501748464,14651853,29303707,0.004749,28713.4,18.0108,27852.1,861.315
512,0.0001,7501748464,14651853,29303707,0.003938,31620.3,12.7222,30860.1,760.241
512,1e-07,7501748464,14651853,29303707,0.004729,35736.3,14.2291,34918.5,817.786
1024,0.01,7501748464,7325927,14651855,0.004849,27729.7,10.8124,26871.2,858.463
1024,0.0001,7501748464,7325927,14651855,0.004167,17966,5.0014,17214.2,751.803
1024,1e-07,7501748464,7325927,14651855,0.004198,20739.5,4.90146,19987.3,752.211
2048,0.01,7501748464,3662964,7325929,0.004839,14258.3,8.24833,13402,856.299
2048,0.0001,7501748464,3662964,7325929,0.004008,14164.1,2.51363,13416.7,747.353
2048,1e-07,7501748464,3662964,7325929,0.004218,11585.5,2.45762,10833.1,752.429
4096,0.01,7501748464,1831482,3662965,0.003587,8335.15,28.3296,7477.55,857.601
