Create GPU,Chunk Size,Data Size,Number of Leaves,Number of Nodes,Setup time,Leaves time,Rest time,Load time,Hashing time
1,4096,4096,1,3,0.001102,1.18737,0.00012,1.13177,0.055485
0,4096,4096,1,3,0.001433,0.928303,0.00013,0.893427,0.034755
1,4096,4096,1,3,0.001102,1.52654,0.00012,1.47313,0.05331
0,4096,4096,1,3,0.001733,0.96924,0.00012,0.93711,0.032
1,4096,4096,1,3,0.001152,1.20144,0.000141,1.14257,0.05878
0,4096,4096,1,3,0.001613,0.913655,0.000121,0.882206,0.031359
1,8192,8192,1,3,0.001112,1.25329,0.00012,1.19683,0.056366
0,8192,8192,1,3,0.001613,1.01807,0.000121,0.972937,0.045024
1,8192,8192,1,3,0.001362,1.26715,0.00035,1.21025,0.056787
0,8192,8192,1,3,0.001473,0.88973,0.00014,0.843995,0.045645
1,8192,8192,1,3,0.001072,1.13748,0.00012,1.07423,0.063149
0,8192,8192,1,3,0.001603,0.826011,0.00012,0.781227,0.044684
1,16384,16384,1,3,0.001082,1.33079,0.00013,1.2664,0.06427
0,16384,16384,1,3,0.001593,0.84706,0.00013,0.774454,0.072496
1,16384,16384,1,3,0.001222,1.38948,0.000141,1.32742,0.061956
0,16384,16384,1,3,0.001553,1.02585,0.00014,0.954823,0.070793
1,16384,16384,1,3,0.001333,1.34623,0.00012,1.28609,0.060023
0,16384,16384,1,3,0.001493,0.973267,0.000111,0.902154,0.071023
1,32768,32768,1,3,0.001192,1.56333,0.00012,1.50208,0.061135
0,32768,32768,1,3,0.001422,1.19297,0.000121,1.0704,0.12246
1,32768,32768,1,3,0.001433,1.67751,0.000121,1.62252,0.054893
0,32768,32768,1,3,0.001482,1.2047,0.00013,1.08103,0.123442
1,32768,32768,1,3,0.001122,1.8114,0.00012,1.75608,0.055243
0,32768,32768,1,3,0.001363,1.20256,0.00012,1.08039,0.122049
1,65536,65536,1,3,0.001092,2.0076,0.00015,1.94351,0.06397
0,65536,65536,1,3,0.001613,1.38846,0.00012,1.16042,0.227958
1,65536,65536,1,3,0.001363,1.57909,0.00012,1.52315,0.055845
0,65536,65536,1,3,0.001402,1.34191,0.00012,1.11541,0.226385
1,65536,65536,1,3,0.001864,1.81788,0.000221,1.75957,0.058199
0,65536,65536,1,3,0.001363,1.41157,0.00014,1.18512,0.226335
1,4096,4096,1,3,0.001433,1.44508,0.000171,1.37716,0.067807
0,4096,4096,1,3,0.001703,0.682802,0.000191,0.650502,0.0322
1,4096,4096,1,3,0.001352,1.33547,0.00013,1.27492,0.060463
0,4096,4096,1,3,0.001573,0.903857,0.00013,0.872919,0.030818
1,4096,4096,1,3,0.001102,1.10281,0.000131,1.04165,0.061074
0,4096,4096,1,3,0.001422,0.743136,0.00012,0.711056,0.03198
1,8192,8192,1,3,0.001082,1.2193,0.00012,1.16538,0.053831
0,8192,8192,1,3,0.001773,0.89939,0.00013,0.853614,0.045676
1,8192,8192,1,3,0.001302,1.44887,0.00013,1.38454,0.064231
0,8192,8192,1,3,0.001463,1.14537,0.000161,1.1,0.045265
1,8192,8192,1,3,0.001512,1.23198,0.000411,1.16946,0.062417
0,8192,8192,1,3,0.001393,11.3843,5e-05,0.977186,10.407
1,16384,16384,1,3,0.001072,1.00671,0.00012,0.9369,0.069691
0,16384,16384,1,3,0.001633,0.837513,0.00012,0.765588,0.071805
1,16384,16384,1,3,0.001202,1.36769,0.000121,1.31231,0.055274
0,16384,16384,1,3,0.001472,1.01405,0.00013,0.942489,0.071344
1,16384,16384,1,3,0.001102,1.30395,0.00013,1.23932,0.064521
0,16384,16384,1,3,0.001482,0.795423,0.000131,0.723518,0.071805
1,32768,32768,1,3,0.001413,1.28824,0.00012,1.22021,0.067908
0,32768,32768,1,3,0.001603,1.14747,0.00012,1.02351,0.123812
1,32768,32768,1,3,0.000941,1.37136,0.00013,1.30661,0.064641
0,32768,32768,1,3,0.001463,1.25217,5e-05,1.12946,0.1226
1,32768,32768,1,3,0.001152,1.61522,0.00012,1.55906,0.056065
0,32768,32768,1,3,0.001643,1.33252,0.000121,1.20939,0.123001
1,65536,65536,1,3,0.001132,1.65785,0.000141,1.59266,0.065092
0,65536,65536,1,3,0.001432,1.4537,0.00012,1.22878,0.224822
1,65536,65536,1,3,0.001513,1.46093,0.00014,1.40003,0.060804
0,65536,65536,1,3,0.001363,1.66331,0.00011,1.43905,0.224101
1,65536,65536,1,3,0.001232,1.56553,0.00012,1.50747,0.057949
0,65536,65536,1,3,0.001723,1.68753,0.00012,1.46205,0.225373
1,131072,131072,1,3,0.001102,1.38556,0.00014,1.3158,0.069651
0,131072,131072,1,3,0.001342,1.67468,0.00012,1.24403,0.430388
1,131072,131072,1,3,0.001052,1.9778,0.00012,1.92261,0.055093
0,131072,131072,1,3,0.001753,2.09216,0.00012,1.66121,0.430769
1,131072,131072,1,3,0.001824,2.01131,0.000131,1.93893,0.072265
0,131072,131072,1,3,0.001412,2.32729,0.00014,1.89833,0.428835
1,262144,262144,1,3,0.001443,1.86209,0.000121,1.79794,0.06403
0,262144,262144,1,3,0.001633,3.07,0.00012,2.22702,0.842853
1,262144,262144,1,3,0.001143,2.45735,0.00028,2.35775,0.099446
0,262144,262144,1,3,0.001643,2.84423,0.00012,2.00264,0.84139
1,262144,262144,1,3,0.001313,1.97995,0.00012,1.91569,0.06413
0,262144,262144,1,3,0.001663,2.80791,0.00014,1.958,0.849736
1,524288,524288,1,3,0.001252,2.20398,0.000131,2.13655,0.067336
0,524288,524288,1,3,0.001813,3.99265,0.00013,2.33038,1.66208
1,524288,524288,1,3,0.001343,2.50444,0.00016,2.42216,0.082164
0,524288,524288,1,3,0.001633,4.01705,0.00014,2.35006,1.66678
1,524288,524288,1,3,0.001362,2.4335,0.00014,2.36084,0.072536
0,524288,524288,1,3,0.001483,4,0.00014,2.35096,1.64884
1,4096,4096,1,3,0.001072,1.17691,0.000121,1.11696,0.059872
0,4096,4096,1,3,0.001603,0.722326,0.000131,0.689455,0.032771
1,4096,4096,1,3,0.001092,1.3708,0.000121,1.31,0.060724
0,4096,4096,1,3,0.001583,0.927832,0.000441,0.896674,0.031068
1,4096,4096,1,3,0.001282,1.23135,0.00012,1.16058,0.070673
0,4096,4096,1,3,0.001523,0.711095,0.00012,0.679435,0.03157
1,8192,8192,1,3,0.001383,1.16851,0.00013,1.10448,0.06392
0,8192,8192,1,3,0.001503,0.92639,0.00013,0.881706,0.044573
1,8192,8192,1,3,0.001182,1.31903,0.00012,1.26056,0.05838
0,8192,8192,1,3,0.001784,1.00087,0.000121,0.955925,0.044844
1,8192,8192,1,3,0.001152,1.75039,0.00012,1.69304,0.057268
0,8192,8192,1,3,0.001512,0.893427,0.000131,0.847571,0.045636
1,16384,16384,1,3,0.001052,1.18295,0.00012,1.12893,0.053932
0,16384,16384,1,3,0.001873,0.966846,0.00012,0.896664,0.070092
1,16384,16384,1,3,0.001613,1.14916,0.00012,1.08591,0.063149
0,16384,16384,1,3,0.001613,1.04312,0.00011,0.971314,0.071715
1,16384,16384,1,3,0.001182,1.17615,0.00013,1.10657,0.06948
0,16384,16384,1,3,0.001562,1.07276,4e-05,1.0016,0.070984
1,32768,32768,1,3,0.001162,1.66364,0.00013,1.5981,0.065443
0,32768,32768,1,3,0.001413,1.20355,0.00013,1.08155,0.121909
1,4096,4096,1,3,0.001333,1.2658,0.00013,1.20005,0.065623
0,4096,4096,1,3,0.001623,0.893858,0.00012,0.863051,0.030547
1,4096,4096,1,3,0.001052,1.2374,0.00012,1.18095,0.056376
0,4096,4096,1,3,0.001864,0.808298,0.00012,0.776568,0.03151
1,4096,4096,1,3,0.001402,1.20504,0.000131,1.13828,0.066645
0,4096,4096,1,3,0.001543,0.705314,0.00014,0.673745,0.031449
1,8192,8192,1,3,0.001443,1.25992,0.000461,1.19272,0.067086
0,8192,8192,1,3,0.001483,0.932371,0.000451,0.886705,0.045545
