Kokkos GPU,Create GPU,Chunk Size,Data Size,Number of Leaves,Number of Nodes,Setup time,Leaves time,Rest time,Load time,Hashing time
1,1,1048576,1073741824,1024,2049,0.001323,325.991,0.066735,325.864,0.126066
1,1,2097152,1073741824,512,1025,0.001302,313.357,0.055093,313.235,0.121418
1,1,4194304,1073741824,256,513,0.001243,328.667,0.059943,328.537,0.130344
1,1,8388608,1073741824,128,257,0.001212,342.603,0.060633,342.476,0.125985
1,1,16777216,1073741824,64,129,0.001162,425.354,0.045225,425.225,0.12798
1,1,33554432,1073741824,32,65,0.001252,476.367,0.050374,476.243,0.124392
1,1,67108864,1073741824,16,33,0.001543,477.288,0.046878,477.162,0.125074
1,1,134217728,1073741824,8,17,0.001363,484.639,0.0372,484.513,0.125465
1,1,268435456,1073741824,4,9,0.001192,504.217,0.033443,504.091,0.125475
1,1,536870912,1073741824,2,5,0.001432,721.281,0.047619,721.13,0.150822
1,1,1048576,1073741824,1024,2049,0.001263,294.093,0.067377,293.956,0.136085
1,1,2097152,1073741824,512,1025,0.001323,296,0.06381,295.87,0.130254
1,1,4194304,1073741824,256,513,0.001283,310.067,0.059732,309.939,0.12806
1,1,8388608,1073741824,128,257,0.001352,339.387,0.057528,339.257,0.129883
1,1,16777216,1073741824,64,129,0.001152,445.735,0.051657,445.597,0.137427
1,1,33554432,1073741824,32,65,0.001242,383.063,0.051306,382.926,0.137087
1,1,67108864,1073741824,16,33,0.001212,466.015,0.055343,465.89,0.124483
1,1,134217728,1073741824,8,17,0.001243,437.18,0.050524,437.048,0.131977
1,1,268435456,1073741824,4,9,0.001122,496.966,0.039464,496.835,0.131596
1,1,536870912,1073741824,2,5,0.001313,711.318,0.0426,711.181,0.136095
1,1,1048576,1073741824,1024,2049,0.001373,333.48,0.067106,333.349,0.131095
1,1,2097152,1073741824,512,1025,0.001392,304.367,0.052609,304.247,0.119203
1,1,4194304,1073741824,256,513,0.001413,300.158,0.057938,300.029,0.12821
1,1,8388608,1073741824,128,257,0.001192,336.507,0.059562,336.379,0.127919
1,1,16777216,1073741824,64,129,0.001172,417.835,0.051887,417.714,0.120806
1,1,33554432,1073741824,32,65,0.001272,507.706,0.050274,507.565,0.140834
1,1,67108864,1073741824,16,33,0.001292,425.345,0.044424,425.217,0.127358
1,1,134217728,1073741824,8,17,0.001162,476.236,0.044794,476.11,0.125826
1,1,268435456,1073741824,4,9,0.001252,499.207,0.043071,499.074,0.132879
1,1,536870912,1073741824,2,5,0.001352,704.309,0.03772,704.171,0.137267
1,0,1048576,1073741824,1024,2049,0.001252,282.158,0.09081,281.975,0.182552
1,0,2097152,1073741824,512,1025,0.001263,288.565,0.054442,288.43,0.134843
1,0,4194304,1073741824,256,513,0.001273,284.904,0.052318,284.762,0.142347
1,0,8388608,1073741824,128,257,0.001342,301.275,0.05874,301.13,0.144981
1,0,16777216,1073741824,64,129,0.001182,405.057,0.089297,404.873,0.183454
1,0,33554432,1073741824,32,65,0.001082,422.333,0.058489,422.164,0.169257
1,0,67108864,1073741824,16,33,0.001092,460.794,0.0536,460.625,0.168545
1,0,134217728,1073741824,8,17,0.001273,454.045,0.042841,453.889,0.155962
1,0,268435456,1073741824,4,9,0.001273,482.243,0.055474,482.067,0.175418
1,0,536870912,1073741824,2,5,0.001203,680.687,0.036889,680.529,0.157775
1,0,1048576,1073741824,1024,2049,0.001423,292.766,0.057498,292.627,0.13881
1,0,2097152,1073741824,512,1025,0.001142,277.618,0.063218,277.465,0.152756
1,0,4194304,1073741824,256,513,0.001253,298.383,0.059531,298.231,0.151974
1,0,8388608,1073741824,128,257,0.001232,321.162,0.057568,321.019,0.142827
1,0,16777216,1073741824,64,129,0.001122,361.504,0.078176,361.321,0.18209
1,0,33554432,1073741824,32,65,0.001352,390.962,0.059962,390.794,0.168296
1,0,67108864,1073741824,16,33,0.001212,386.313,0.063069,386.125,0.188403
1,0,134217728,1073741824,8,17,0.001202,429.485,0.059391,429.304,0.180077
1,0,268435456,1073741824,4,9,0.001202,461.354,0.04794,461.167,0.186279
1,0,536870912,1073741824,2,5,0.001123,685.938,0.036768,685.789,0.148498
1,0,1048576,1073741824,1024,2049,0.001202,263.823,0.071744,263.675,0.148017
1,0,2097152,1073741824,512,1025,0.001243,266.267,0.056215,266.128,0.13867
1,0,4194304,1073741824,256,513,0.001192,274.423,0.063188,274.272,0.151053
1,0,8388608,1073741824,128,257,0.001262,310.297,0.052468,310.146,0.150561
1,0,16777216,1073741824,64,129,0.001182,444.314,0.074439,444.139,0.174527
1,0,33554432,1073741824,32,65,0.001253,450.057,0.066816,449.872,0.184736
1,0,67108864,1073741824,16,33,0.001242,445.728,0.068649,445.535,0.192551
1,0,134217728,1073741824,8,17,0.001483,441.092,0.062427,440.904,0.187571
1,0,268435456,1073741824,4,9,0.001272,497.421,0.051537,497.228,0.192471
1,0,536870912,1073741824,2,5,0.001162,689.542,0.034855,689.379,0.163025
0,0,1048576,1073741824,1024,2049,0.001653,408.305,0.139521,335.348,72.9563
0,0,2097152,1073741824,512,1025,0.001403,410.82,5.70351,318.483,92.3371
0,0,4194304,1073741824,256,513,0.001262,420.844,0.11191,341.974,78.8687
0,0,8388608,1073741824,128,257,0.001492,421.919,0.104676,348.634,73.2848
0,0,16777216,1073741824,64,129,0.001593,618.876,5.68583,525.524,93.3516
0,0,33554432,1073741824,32,65,0.001623,683.062,5.7018,573.656,109.406
0,0,67108864,1073741824,16,33,0.001412,770.494,0.109395,570.356,200.137
0,0,134217728,1073741824,8,17,0.001924,915.079,0.38991,527.501,387.577
0,0,268435456,1073741824,4,9,0.001473,1436.2,0.455713,681.398,754.801
0,0,536870912,1073741824,2,5,0.001483,2381.25,11.3239,861.925,1519.32
