Chunk Size,Data Size,Number of Leaves,Number of Nodes,Setup time,Leaves time,Rest time,Load time,Hashing time
1048576,1073741824,1024,2049,0.001372,351.607,0.067135,351.476,0.130594
2097152,1073741824,512,1025,0.001233,356.478,0.061275,356.354,0.123862
4194304,1073741824,256,513,0.001282,392.854,0.060744,392.72,0.133159
8388608,1073741824,128,257,0.001302,383.918,0.050725,383.804,0.113172
16777216,1073741824,64,129,0.001312,432.839,0.050454,432.716,0.122589
33554432,1073741824,32,65,0.001212,538.095,0.049903,537.965,0.129313
67108864,1073741824,16,33,0.001413,468.11,0.046507,467.986,0.123832
134217728,1073741824,8,17,0.001333,479.752,0.044674,479.616,0.135684
268435456,1073741824,4,9,0.001263,516.114,0.04258,515.988,0.126106
536870912,1073741824,2,5,0.002255,711.15,0.03736,711.018,0.131476
1048576,1073741824,1024,2049,0.001332,342.08,0.065873,341.95,0.130394
2097152,1073741824,512,1025,0.001222,352.34,0.062236,352.21,0.130033
4194304,1073741824,256,513,0.001253,388.251,0.051096,388.131,0.119504
8388608,1073741824,128,257,0.001252,350.791,0.049813,350.675,0.115126
16777216,1073741824,64,129,0.001292,476.838,0.046938,476.715,0.123582
33554432,1073741824,32,65,0.001242,485.033,0.052879,484.906,0.126657
67108864,1073741824,16,33,0.001172,494.535,0.041388,494.411,0.123351
134217728,1073741824,8,17,0.001253,470.972,0.051667,470.848,0.124193
268435456,1073741824,4,9,0.001162,537.36,0.03743,537.224,0.135133
536870912,1073741824,2,5,0.001252,748.606,0.033613,748.47,0.135634
1048576,1073741824,1024,2049,0.001262,333.819,0.068418,333.678,0.140573
2097152,1073741824,512,1025,0.001332,325.226,0.08497,325.041,0.184666
4194304,1073741824,256,513,0.001323,360.46,0.061305,360.334,0.125696
8388608,1073741824,128,257,0.001182,365.813,0.048961,365.7,0.112982
16777216,1073741824,64,129,0.001362,416.512,0.055854,416.369,0.143328
33554432,1073741824,32,65,0.001282,504.152,0.044093,504.029,0.1231
67108864,1073741824,16,33,0.001243,487.467,0.047609,487.332,0.134772
134217728,1073741824,8,17,0.001212,484.611,0.043992,484.491,0.119925
268435456,1073741824,4,9,0.001393,539.238,0.043631,539.103,0.134612
536870912,1073741824,2,5,0.001182,728.408,0.036028,728.277,0.130955
