Create GPU,Chunk Size,Data Size,Number of Leaves,Number of Nodes,Setup time,Leaves time,Rest time,Load time,Hashing time
1,4096,1073741824,262144,524289,0.001653,1753.49,0.089238,1753.36,0.126558
1,8192,1073741824,131072,262145,0.001443,1231.15,0.088616,1231.02,0.12779
1,16384,1073741824,65536,131073,0.001403,996.485,0.075261,996.371,0.114175
1,32768,1073741824,32768,65537,0.001382,869.329,0.080952,869.208,0.121238
1,65536,1073741824,16384,32769,0.001383,726.771,0.066455,726.653,0.117701
1,131072,1073741824,8192,16385,0.001382,510.466,0.067217,510.344,0.122149
1,262144,1073741824,4096,8193,0.001603,423.37,0.074119,423.246,0.12278
1,524288,1073741824,2048,4097,0.001363,368.516,0.062648,368.395,0.120577
1,1048576,1073741824,1024,2049,0.001673,351.505,0.066565,351.375,0.129353
1,2097152,1073741824,512,1025,0.001162,349.046,0.055294,348.926,0.120005
1,4194304,1073741824,256,513,0.001262,342.074,0.06418,341.946,0.12788
1,8388608,1073741824,128,257,0.001663,365.355,0.052007,365.237,0.117811
1,16777216,1073741824,64,129,0.001212,409.771,0.047369,409.651,0.119755
1,33554432,1073741824,32,65,0.001503,397.03,0.073137,396.857,0.171762
1,671089664,1073741824,2,5,0.001362,796.589,0.032791,796.455,0.13303
1,134217728,1073741824,8,17,0.001272,455.72,0.045546,455.584,0.134974
1,4096,1073741824,262144,524289,0.001382,1664.55,0.09038,1664.42,0.131317
1,8192,1073741824,131072,262145,0.001352,1033.2,0.087214,1033.07,0.12796
1,16384,1073741824,65536,131073,0.001293,805.383,0.128422,805.187,0.196078
1,32768,1073741824,32768,65537,0.001673,834.903,0.100959,834.736,0.166192
1,65536,1073741824,16384,32769,0.001473,672.051,0.075432,671.92,0.130826
1,131072,1073741824,8192,16385,0.001312,524.935,0.066084,524.815,0.119174
1,262144,1073741824,4096,8193,0.001202,445.645,0.064231,445.53,0.115307
1,524288,1073741824,2048,4097,0.001263,352.475,0.072726,352.348,0.126177
1,1048576,1073741824,1024,2049,0.001493,339.813,0.059021,339.69,0.123222
1,2097152,1073741824,512,1025,0.001302,347.721,0.054964,347.601,0.119304
1,4194304,1073741824,256,513,0.001443,339.736,0.055304,339.618,0.118323
1,8388608,1073741824,128,257,0.001283,362.758,0.058069,362.628,0.130205
1,16777216,1073741824,64,129,0.001312,446.07,0.047559,445.949,0.119966
1,33554432,1073741824,32,65,0.001272,514.391,0.059492,514.228,0.162435
1,671089664,1073741824,2,5,0.001603,765.759,0.038603,765.611,0.147397
1,134217728,1073741824,8,17,0.001223,480.015,0.044143,479.888,0.125817
1,4096,1073741824,262144,524289,0.001442,1541.28,0.097673,1541.15,0.129733
1,8192,1073741824,131072,262145,0.001262,1048.54,0.084449,1048.4,0.13841
1,16384,1073741824,65536,131073,0.001463,915.037,0.095118,914.903,0.133931
1,32768,1073741824,32768,65537,0.001512,740.729,0.067557,740.612,0.116108
1,65536,1073741824,16384,32769,0.001393,601.484,0.064862,601.362,0.121929
1,131072,1073741824,8192,16385,0.001533,486.084,0.066645,485.969,0.115336
1,262144,1073741824,4096,8193,0.001313,424.843,0.104446,424.66,0.182332
1,524288,1073741824,2048,4097,0.001212,383.635,0.071715,383.502,0.13308
1,1048576,1073741824,1024,2049,0.001262,351.409,0.0585,351.292,0.11728
1,2097152,1073741824,512,1025,0.001293,359.865,0.05858,359.738,0.126879
1,4194304,1073741824,256,513,0.001252,334.951,0.061746,334.813,0.137989
1,8388608,1073741824,128,257,0.001282,365.555,0.050735,365.432,0.12243
1,16777216,1073741824,64,129,0.001352,397.047,0.048121,396.926,0.120686
1,33554432,1073741824,32,65,0.001252,422.76,0.050104,422.629,0.130234
1,671089664,1073741824,2,5,0.001293,794.338,0.03717,794.22,0.118493
1,134217728,1073741824,8,17,0.001283,472.168,0.044744,472.043,0.125406
0,4096,1073741824,262144,524289,0.001703,1296.3,0.429046,1223.32,72.9791
0,8192,1073741824,131072,262145,0.001673,679.244,0.319791,606.522,72.7215
0,16384,1073741824,65536,131073,0.001873,789.966,0.248967,717.377,72.5885
0,32768,1073741824,32768,65537,0.001593,792.827,0.224822,720.32,72.5064
0,65536,1073741824,16384,32769,0.001633,601.933,0.212418,528.972,72.9608
0,131072,1073741824,8192,16385,0.001573,475.383,0.183214,402.461,72.9212
0,262144,1073741824,4096,8193,0.001613,417.779,0.16537,345.118,72.6609
